AUS,r1
AUS,r2
AUS,r3
AUS,r4
AUS,r5
AUS,r6
AUS,r7
AUS,r8
AUS,r9
AUS,r10
AUS,r11
AUS,r12
AUS,r13
AUS,r14
AUS,r15
AUS,r16
AUS,r17
AUS,r18
AUS,r19
AUS,r20
AUS,r21
AUS,r22
AUS,r23
AUS,r24
AUS,r25
AUS,r26
AUS,r27
AUS,r28
AUS,r29
AUS,r30
AUS,r31
AUS,r32
AUS,r33
AUS,r34
AUS,r35
AUS,r36
AUS,r37
AUS,r38
AUS,r39
AUS,r40
AUS,r41
AUS,r42
AUS,r43
AUS,r44
AUS,r45
AUS,r46
AUS,r47
AUS,r48
AUS,r49
AUS,r50
AUS,r51
AUS,r52
AUS,r53
AUS,r54
AUS,r55
AUS,r56
AUT,r1
AUT,r2
AUT,r3
AUT,r4
AUT,r5
AUT,r6
AUT,r7
AUT,r8
AUT,r9
AUT,r10
AUT,r11
AUT,r12
AUT,r13
AUT,r14
AUT,r15
AUT,r16
AUT,r17
AUT,r18
AUT,r19
AUT,r20
AUT,r21
AUT,r22
AUT,r23
AUT,r24
AUT,r25
AUT,r26
AUT,r27
AUT,r28
AUT,r29
AUT,r30
AUT,r31
AUT,r32
AUT,r33
AUT,r34
AUT,r35
AUT,r36
AUT,r37
AUT,r38
AUT,r39
AUT,r40
AUT,r41
AUT,r42
AUT,r43
AUT,r44
AUT,r45
AUT,r46
AUT,r47
AUT,r48
AUT,r49
AUT,r50
AUT,r51
AUT,r52
AUT,r53
AUT,r54
AUT,r55
AUT,r56
BEL,r1
BEL,r2
BEL,r3
BEL,r4
BEL,r5
BEL,r6
BEL,r7
BEL,r8
BEL,r9
BEL,r10
BEL,r11
BEL,r12
BEL,r13
BEL,r14
BEL,r15
BEL,r16
BEL,r17
BEL,r18
BEL,r19
BEL,r20
BEL,r21
BEL,r22
BEL,r23
BEL,r24
BEL,r25
BEL,r26
BEL,r27
BEL,r28
BEL,r29
BEL,r30
BEL,r31
BEL,r32
BEL,r33
BEL,r34
BEL,r35
BEL,r36
BEL,r37
BEL,r38
BEL,r39
BEL,r40
BEL,r41
BEL,r42
BEL,r43
BEL,r44
BEL,r45
BEL,r46
BEL,r47
BEL,r48
BEL,r49
BEL,r50
BEL,r51
BEL,r52
BEL,r53
BEL,r54
BEL,r55
BEL,r56
BGR,r1
BGR,r2
BGR,r3
BGR,r4
BGR,r5
BGR,r6
BGR,r7
BGR,r8
BGR,r9
BGR,r10
BGR,r11
BGR,r12
BGR,r13
BGR,r14
BGR,r15
BGR,r16
BGR,r17
BGR,r18
BGR,r19
BGR,r20
BGR,r21
BGR,r22
BGR,r23
BGR,r24
BGR,r25
BGR,r26
BGR,r27
BGR,r28
BGR,r29
BGR,r30
BGR,r31
BGR,r32
BGR,r33
BGR,r34
BGR,r35
BGR,r36
BGR,r37
BGR,r38
BGR,r39
BGR,r40
BGR,r41
BGR,r42
BGR,r43
BGR,r44
BGR,r45
BGR,r46
BGR,r47
BGR,r48
BGR,r49
BGR,r50
BGR,r51
BGR,r52
BGR,r53
BGR,r54
BGR,r55
BGR,r56
BRA,r1
BRA,r2
BRA,r3
BRA,r4
BRA,r5
BRA,r6
BRA,r7
BRA,r8
BRA,r9
BRA,r10
BRA,r11
BRA,r12
BRA,r13
BRA,r14
BRA,r15
BRA,r16
BRA,r17
BRA,r18
BRA,r19
BRA,r20
BRA,r21
BRA,r22
BRA,r23
BRA,r24
BRA,r25
BRA,r26
BRA,r27
BRA,r28
BRA,r29
BRA,r30
BRA,r31
BRA,r32
BRA,r33
BRA,r34
BRA,r35
BRA,r36
BRA,r37
BRA,r38
BRA,r39
BRA,r40
BRA,r41
BRA,r42
BRA,r43
BRA,r44
BRA,r45
BRA,r46
BRA,r47
BRA,r48
BRA,r49
BRA,r50
BRA,r51
BRA,r52
BRA,r53
BRA,r54
BRA,r55
BRA,r56
CAN,r1
CAN,r2
CAN,r3
CAN,r4
CAN,r5
CAN,r6
CAN,r7
CAN,r8
CAN,r9
CAN,r10
CAN,r11
CAN,r12
CAN,r13
CAN,r14
CAN,r15
CAN,r16
CAN,r17
CAN,r18
CAN,r19
CAN,r20
CAN,r21
CAN,r22
CAN,r23
CAN,r24
CAN,r25
CAN,r26
CAN,r27
CAN,r28
CAN,r29
CAN,r30
CAN,r31
CAN,r32
CAN,r33
CAN,r34
CAN,r35
CAN,r36
CAN,r37
CAN,r38
CAN,r39
CAN,r40
CAN,r41
CAN,r42
CAN,r43
CAN,r44
CAN,r45
CAN,r46
CAN,r47
CAN,r48
CAN,r49
CAN,r50
CAN,r51
CAN,r52
CAN,r53
CAN,r54
CAN,r55
CAN,r56
CHE,r1
CHE,r2
CHE,r3
CHE,r4
CHE,r5
CHE,r6
CHE,r7
CHE,r8
CHE,r9
CHE,r10
CHE,r11
CHE,r12
CHE,r13
CHE,r14
CHE,r15
CHE,r16
CHE,r17
CHE,r18
CHE,r19
CHE,r20
CHE,r21
CHE,r22
CHE,r23
CHE,r24
CHE,r25
CHE,r26
CHE,r27
CHE,r28
CHE,r29
CHE,r30
CHE,r31
