"","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014"
"DVA",727423.104725516,695433.484729617,681837.605419595,709239.684865047,791096.580689104,869730.855562856,990690.321205802,1136648.88476809,1247468.4521452,1109360.2881778,1260727.46017516,1415620.50136639,1465931.35581351,1498718.56815273,1544752.2411059
"RDV",95656.4957771083,88098.8442002186,86355.284716801,87836.4481525239,96773.7531243862,101303.211113351,109019.582914452,110177.616329062,108787.612656411,86846.4441007493,104865.509120189,109400.453021844,113325.460783899,113066.797637564,121364.710606141
"FVA",61205.2450802603,52268.4005145385,49984.4715211614,53115.7179049466,66152.7297956397,79814.3769047199,98422.351446877,111576.595107939,138250.721064298,91605.0128875596,118160.801489772,153365.38292255,160560.728187174,161944.991915464,164936.996462046
"PDC",33691.0477419801,27631.5104729943,26280.5188142456,27494.1494018182,34609.0922212137,40682.8567271411,49173.7302839626,53477.3207799119,62829.4801953112,39060.4953342342,53029.0236176184,68527.4574072868,69861.1585653267,72654.0623482986,75258.1415187004
