"","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014"
"DVA",108043.997514832,103366.873012385,105862.468979916,106035.710636708,118032.374087824,138840.741222191,160296.947195253,176505.547018684,187620.888792828,144528.688804397,184561.102723065,221781.903768367,224790.288649195,233277.564992983,236665.345807622
"RDV",672.06266483629,586.865217807383,605.180060827746,566.474811472795,714.368683684645,943.908050368269,1161.64661118967,1279.63479323287,1494.03314186225,985.062763061558,1494.16066196346,2183.91233549289,2183.49775162676,2034.74152781813,1942.69067637372
"FVA",49878.2610968549,47326.0920712526,47106.4269611402,49813.7897063799,58987.1683040381,63642.1651259725,75596.4208849616,79603.5318270347,85197.4464054182,71628.7906111743,89919.8887472368,96551.585996647,101360.589250665,103423.31304398,106560.387438249
"PDC",4802.01295750398,4177.42997375252,4236.7024512465,4423.71251906085,5537.51710458052,6538.63575216713,7490.02580868278,8546.24586257986,9618.19102017847,6822.73093659772,9587.79686044174,11995.3233865679,12607.9968910558,13362.18844722,13829.6707734414
