"","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014"
"DVA",83656.0330496315,80161.1271845506,83268.5255725141,85027.4801601565,95871.9771883235,107804.340339005,125680.124704649,129790.188109891,137250.135963158,107512.571933411,135712.138900592,158402.197029635,158691.367511532,163126.439117898,168280.163500274
"RDV",580.332234083,501.928588536881,517.892707424618,497.357078140117,637.051742796523,822.754058114198,1027.54138852366,1096.24062473347,1310.96412806263,880.728206775678,1333.58141813015,1965.88716416817,1961.36910476652,1815.34614821364,1728.73732522896
"FVA",43371.6067989363,40429.116331708,40172.3792887147,43235.5891581106,50935.1662166115,53011.3805166008,62375.6407681967,64303.0114706626,65548.1462139791,55172.8049463301,68766.5499365298,72872.9702214166,77315.2231381911,79825.3973622563,82241.5809950674
"PDC",2803.58266687154,2259.03518862089,2235.76521060194,2442.02968663957,3079.45324571748,3521.05541454198,4269.62745622779,4768.13045673759,5065.47831414612,3569.46135423939,5112.1492325961,6451.50354809142,6914.58935069049,7537.43820467311,8073.90564327447
