"","usa2mex_2000","usa2mex_2001","usa2mex_2002","usa2mex_2003","usa2mex_2004","usa2mex_2005","usa2mex_2006","usa2mex_2007","usa2mex_2008","usa2mex_2009","usa2mex_2010","usa2mex_2011","usa2mex_2012","usa2mex_2013","usa2mex_2014"
"DVA",64511.4410283991,60357.4879515832,55881.1310401531,54591.1096675784,60020.2122095758,68149.0987217214,74046.90752662,79829.2338911593,86101.2450587371,71372.3482629319,84031.0480752184,98203.6640271387,102140.303843347,106292.55251244,108262.616178926
"RDV",25975.310229788,22869.4901457426,21268.0222516673,23589.8174913066,26352.7203137262,25809.738160223,27892.5591241819,28278.2607246622,26807.7492444045,24716.6264618973,29033.7456136073,29490.4041436066,32745.7874579952,33694.4470699249,35649.3729980065
"FVA",8386.23964332635,6976.99281694041,6496.8532901267,6510.10294346141,8135.83150014501,10492.5668619178,12450.6834307707,13396.6860062848,16439.9879352734,9935.17340670026,13937.3416959154,19244.6016643252,20033.3506006252,19691.9566730013,19578.5753171442
"PDC",6021.93163377624,4822.33748941988,4387.87667608536,4724.01629068528,5942.15796411388,6702.07606836639,7910.80440984546,8488.14159166185,9129.9735394581,5965.62768995627,8380.48772484088,10288.2514444852,11232.9051658336,11682.2929197178,12390.0737233174
