Exporting_Country,Exporting_Industry,Importing_Country,Year,DVA_FIN,DVA_INT,DVA_INTrex,RDV,OVA_FIN,MVA_FIN,OVA_INT,MVA_INT,DDC_FIN,DDC_INT,ODC,MDC
MEX,A01,USA,2000,1560.8653269517,539.376051569205,48.5547251925044,6.84350302900692,47.8115303026243,87.1924465444535,16.4952876076741,30.0819587631681,0.664597484946413,0.253408553392574,1.75161639049308,3.19437000923757
MEX,A02,USA,2000,31.600589195083,8.84325039913934,1.06538718427818,0.15048505709374,1.24455263246351,1.17689070537536,0.344046413080983,0.325341825818371,0.026514560475382,0.002646011607651,0.053268945558764,0.050372901296397
MEX,A03,USA,2000,7.23987644812614,41.4719951373022,4.99632267450056,0.705726439491794,0.212941491693179,0.309077500597617,1.20527510722792,1.74941677506087,0.124344741740399,0.024948919615034,0.18661358579366,0.27086341988141
MEX,B,USA,2000,738.437662035188,5897.14169871182,581.748944190246,96.7537588578609,18.7261370090832,21.8052499884823,148.498695452499,172.916131914159,17.9775970494528,1.89268114169509,18.757821775759,21.8421446378089
MEX,C10-C12,USA,2000,1759.08954583615,139.128617682448,7.16476994132092,0.878803385062818,89.5511646684214,166.350809769882,7.07853153314572,13.1491249374635,0.095437067183442,0.105837507466636,0.423909440061909,0.787456856474171
MEX,C13-C15,USA,2000,7811.47302715995,592.152642756868,75.0742648972762,19.4872574991008,1074.00536769401,1756.04907821154,80.8916045765503,132.261562115557,6.78140391985373,1.32468726450125,14.6397609283276,23.9366947845193
MEX,C16,USA,2000,128.579334826004,88.3586742452871,6.25295941251398,0.728089159574677,9.56072687004095,9.80179551228949,6.53895866076027,6.70383502502587,0.218105209392142,0.060870125956463,0.570926127057118,0.585321725649643
MEX,C17,USA,2000,127.084569901619,355.91944226806,43.8787837314469,5.76235983656875,13.5994846523583,34.1173550633271,37.8005396183632,94.8311252016027,1.70041399563145,0.719145966341079,5.85794492891585,14.6959676921715
MEX,C18,USA,2000,0,100.853506431361,6.87443354043283,0.400546963110394,0,0,9.06145311028727,19.1633151505308,0.127658262695134,0.141752022290336,0.693848040117972,1.46736163587976
MEX,C19,USA,2000,181.870814007787,536.569197359909,48.856995168488,4.70110984735858,9.17185572716511,13.594516385875,26.9624709380702,39.9637503984776,1.24148881186523,0.70910585770063,2.89637739099969,4.29300798801306
MEX,C20,USA,2000,232.639617898288,1209.0950761348,183.178659183361,28.8465797326013,20.5480140581099,39.2463399562956,105.598729377983,201.69168759574,8.4593078097755,1.91081041272724,20.8384003451632,39.8009725795802
MEX,C21,USA,2000,128.296418402161,42.0759826756083,6.374537917034,1.00384845503269,6.48951853944824,8.2252571036324,2.10273454968039,2.6651487605246,0.294380245862376,0.025239313167665,0.414944633170881,0.525929045561078
MEX,C22,USA,2000,492.395505283926,863.313836931424,106.521117024922,13.9449647818502,63.8836670667905,113.253432538555,111.311381986423,197.333632670034,4.68739551499829,1.89487365949456,17.1787597984225,30.4546311014459
MEX,C23,USA,2000,127.848331958369,1163.42872014745,78.0468585088453,12.0538435121397,5.81651073614831,9.09083296537187,52.7019347931625,82.369741566715,3.9477257093107,0.889908599615875,4.54797517358851,7.10819329822639
MEX,C24,USA,2000,0.047476194361782,1419.57443673097,327.782372793219,50.6534242688424,0.006066064287353,0.005696662574646,178.227201212944,167.373799359577,19.7591112349287,2.76350294461215,54.3834669649726,51.0717074965345
MEX,C25,USA,2000,281.556353667147,1643.76471733031,252.380651174124,31.8059345458631,58.2534341882411,66.2117321547885,337.55036233032,383.664834370888,12.4953882111059,5.09628790273831,64.9785041683403,73.8555481537845
