Exporting_Country,Exporting_Industry,Importing_Country,Year,DVA_FIN,DVA_INT,DVA_INTrex,RDV,OVA_FIN,MVA_FIN,OVA_INT,MVA_INT,DDC_FIN,DDC_INT,ODC,MDC
MEX,C16,USA,2011,23.6388341339112,173.030132876261,18.8679883104636,1.92863198738633,2.00030131401661,1.81210726323836,14.5990943562723,13.2255699350521,0.475084828583742,0.343322585499572,1.87164054909252,1.69555126990924
MEX,C17,USA,2011,279.445143438958,656.901425157487,107.238200131625,13.0736050457538,43.9575572524086,67.6837500349955,102.904466008434,158.447388575441,3.16563713327663,2.87719769230869,20.3040567945668,31.2632182195364
MEX,C18,USA,2011,0,65.033880318321,6.00741769489845,0.195498248954438,0,0,9.30351556746554,11.8419525765499,0.051030885309683,0.195917137580463,0.924936695489483,1.17730296734281
MEX,C19,USA,2011,1082.84056586932,2913.24749779941,357.705771103161,30.3953315435809,126.669121178941,177.244870498143,341.681394525195,478.106060581967,6.20661398169237,22.8604665059171,47.9058085786757,67.0333760794093
MEX,C20,USA,2011,858.621854083851,2674.39406789597,614.941356916233,73.9588502664427,140.461051159799,182.121225155194,433.325109570624,561.847566950985,18.7376156894466,10.9772267653774,121.733703545715,157.839422739349
MEX,C21,USA,2011,212.415868835866,27.5539064421895,6.33565426847541,0.761987638793265,21.6237191409286,21.4496001633844,2.77338877615368,2.75105683524706,0.193051021967815,0.052751898376172,0.77912604656712,0.772852351014464
MEX,C22,USA,2011,598.996915313248,1372.70297244267,210.568955413972,22.4498137719958,144.179491148194,170.810873082507,329.649078555314,390.538532702973,6.26647162704178,7.11304751406032,60.0711185396939,71.166849897267
MEX,C23,USA,2011,68.9962979680436,1787.68732111152,180.818324085015,19.5242023842382,5.53980039935513,6.12249427770849,143.161425180092,158.219600575454,5.68633486185308,4.45409598900277,17.2742044469068,19.091160376548
MEX,C24,USA,2011,0.01059950998609,6630.99654720587,2375.30555739445,259.950720577612,0.001678208628405,0.001185525066711,1032.41950890918,729.324820798081,99.8683521198415,31.9596038402447,455.568169582309,321.823803962188
MEX,C25,USA,2011,681.109165722276,3010.41650397072,614.209069422596,62.4572522207709,196.516208087189,136.102951010498,865.812572692836,599.643394875621,21.2004237694122,20.7448460943603,210.100802216449,145.51135231881
MEX,C26,USA,2011,9783.41052482135,799.792145904848,172.974467695139,13.3708681980299,16667.7738952139,9521.48736492222,1368.64058000644,781.83769899789,6.8482809366819,12.7938599473847,344.883277215594,197.015017543775
MEX,C27,USA,2011,4383.61406669276,3848.35092026802,695.771085555689,66.6096897705855,2466.01274253423,1637.80848752595,2166.18710827696,1438.67854788916,29.1076686374638,37.9997287093992,465.342637547767,309.058468449039
MEX,C28,USA,2011,5542.57313055012,4543.9934390131,1068.02578879922,111.52750519903,1609.55264481899,1235.74521959145,1314.10710758523,1008.91485684348,30.3398667657993,32.7769851003126,366.328938694381,281.251586424812
MEX,C29,USA,2011,12068.1538537244,6485.10839742438,1408.64388796558,164.854251138523,4940.56500165467,3739.40617547362,2650.64435176436,2006.21504922054,49.8332232235395,72.7787953844336,698.653523810945,528.795654055775
MEX,C30,USA,2011,790.302679824166,885.05759276357,320.714939980861,5.39208034105876,200.497774732663,209.369573193861,223.739317324264,233.639527607364,2.23318537106014,6.86917580748803,85.8393025712597,89.6375940659032
MEX,C31_C32,USA,2011,4680.62687012538,546.313204518882,43.3473220325106,4.1067839642937,1295.01417447928,970.756153736423,151.306390480292,113.420850947404,1.01185350203815,2.22147919283233,13.8689837981977,10.3963351394086
MEX,C33,USA,2011,0,0,0,0,0,0,0,0,0,0,0,0
MEX,D35,USA,2011,3.03347673236554,19.2389720774665,1.70553671443236,0.165349242077826,0.363286616500235,0.436240421682066,2.30377760237687,2.76641325905254,0.042164535329211,0.083215803391566,0.239336645602665,0.287399299780178
MEX,E36,USA,2011,0,0,0,0,0,0,0,0,0,0,0,0
MEX,E37-E39,USA,2011,0,0,0,0,0,0,0,0,0,0,0,0
MEX,F,USA,2011,2.35461710318555E-12,2.06048006431027E-12,4.61304160251255E-13,4.97196949282812E-14,2.38707024759191E-13,1.79298127413604E-13,2.07090916027331E-13,1.55550568675246E-13,1.49292212833993E-14,5.14190082772812E-15,5.56384962341344E-14,4.17913054588689E-14
MEX,G45,USA,2011,261.138511806621,228.758700140331,51.214928936344,5.51998195962877,13.086363801289,10.6828375590952,11.3531098207511,9.2679242184682,1.65747260264855,0.267218336032742,3.05020601639625,2.48998544513383
MEX,G46,USA,2011,1926.55252112424,1688.16982218206,377.950641538428,40.7357925950717,65.7576568626395,53.7408841228307,57.0482306049965,46.6230473625269,12.2316450791527,1.3440887255349,15.3269772743737,12.5260745129037
MEX,G47,USA,2011,1702.51079012308,1491.92024244588,334.013915749155,36.0002606172106,53.7995533382353,43.9636121178002,46.6739459968382,38.1407489558807,10.8097175131433,1.09958364506106,12.539749296558,10.2471608019193
MEX,H49,USA,2011,1096.48494608333,957.492647867335,214.365258621925,23.1044421019293,96.5325737120465,106.149493163605,83.7470918028936,92.0902759240705,6.93751901066047,4.93032823605949,22.5000803573637,24.7416186498764
MEX,H50,USA,2011,23.1117201303138,20.2197384268034,4.52683314778824,0.487905339888273,3.53195238464662,2.13175670721056,3.06415471199166,1.84941121732381,0.146502242120575,0.056599198349154,0.8232372702502,0.496875773328739
MEX,H51,USA,2011,59.0328677985992,98.6501698865643,12.219355673723,0.851176475037471,9.42007035473211,9.75772274972907,15.7700303584198,16.3352903107534,0.249814434715672,0.746336131596452,2.21657136477458,2.29602200599212
MEX,H52,USA,2011,48.7799290443775,42.680045609426,9.55528905150174,1.02987594201069,4.918208176436,3.87337273808892,4.26680462168521,3.36035485028281,0.309238539273122,0.114469736125065,1.14634961991326,0.902816474374668
MEX,H53,USA,2011,0,0,0,0,0,0,0,0,0,0,0,0
MEX,I,USA,2011,0,0,0,0,0,0,0,0,0,0,0,0
MEX,J58,USA,2011,0,0,0,0,0,0,0,0,0,0,0,0
MEX,J59_J60,USA,2011,1.00858669538999,0.803795975667161,0.150426557506596,0.014819502014601,0.159674866564228,0.053566234444855,0.126319130153505,0.042376363207738,0.004449739707713,0.000986500504915,0.027955846212533,0.009378366455202
MEX,J61,USA,2011,3.02313220995956,2.67407240351158,0.59222644168017,0.063560723955803,0.308285263518215,0.16789201486116,0.270124874546935,0.147109884313764,0.019087314213548,0.003471908515007,0.071739535905285,0.039069318756559
MEX,J62_J63,USA,2011,1.12511928389204E-14,9.86253029178205E-15,2.20804186995424E-15,2.37984344436005E-16,6.87840704633466E-16,2.00754960810681E-16,5.967380379657E-16,1.74165501720175E-16,7.14590253458875E-17,3.44609803378331E-18,1.60323821609527E-16,4.67925237739314E-17
MEX,K64,USA,2011,1.00116474209648,0.880077035414926,0.19644805139507,0.021146069239826,0.070862945275957,0.025263077961782,0.061662302187922,0.021982991836003,0.006348484143351,0.000467334023426,0.016513842777015,0.005887287014387
MEX,K65,USA,2011,32.42341276152,40.0864683646724,5.80504446440406,0.548081951111067,3.6398441655811,1.29087438893662,4.47346645193185,1.58651937002475,0.159180336742596,0.024593667260187,0.760461206981121,0.269698330811654
MEX,K66,USA,2011,0,0,0,0,0,0,0,0,0,0,0,0
MEX,L68,USA,2011,0,0,0,0,0,0,0,0,0,0,0,0
MEX,M69_M70,USA,2011,0,0,0,0,0,0,0,0,0,0,0,0
MEX,M71,USA,2011,0,0,0,0,0,0,0,0,0,0,0,0
MEX,M72,USA,2011,0.536697828169838,0.822857831067981,0.105368983477557,0.007821582696591,0.0235970617281,0.013410507849646,0.036011082717623,0.020465552576992,0.002368814440067,0.000425713281356,0.005267143670772,0.002993384191473
MEX,M73,USA,2011,0,0,0,0,0,0,0,0,0,0,0,0
MEX,M74_M75,USA,2011,10.8893024744987,22.6999166061944,3.18783876470823,0.25866449872448,0.282539187409658,0.199874570084205,0.585794041434658,0.414403868231833,0.078154950630704,0.009979503179257,0.094900583217106,0.067134805069561
MEX,N,USA,2011,0.016890621057545,0.027491203946292,0.0041305299738,0.000313722016379,0.000276519733227,0.000180810826978,0.00044754237219,0.000292639174351,9.1834177690602E-05,9.18308663023704E-06,7.69331336439995E-05,5.03050663105983E-05
MEX,O84,USA,2011,0,0,0,0,0,0,0,0,0,0,0,0
MEX,P85,USA,2011,0,0,0,0,0,0,0,0,0,0,0,0
MEX,Q,USA,2011,0,0,0,0,0,0,0,0,0,0,0,0
MEX,R_S,USA,2011,0,0,0,0,0,0,0,0,0,0,0,0
MEX,T,USA,2011,0,0,0,0,0,0,0,0,0,0,0,0
MEX,U,USA,2011,0,0,0,0,0,0,0,0,0,0,0,0
MEX,A01,USA,2012,5159.8400742028,1200.83349993297,169.866648856704,25.2328740424141,294.487790738741,408.001701028602,68.4340470888865,94.8127851090023,2.38609238491589,1.66140125129277,11.4671055521143,15.8872412312938
MEX,A02,USA,2012,34.9591147895133,6.33648735597803,1.25116356359621,0.16862606549389,2.26400748912214,1.40387272689075,0.407599285656415,0.252745418635991,0.025705842945384,0.004126996644178,0.096641484176816,0.059925748732697
MEX,A03,USA,2012,33.8065738221631,99.9591553363535,19.7373163005973,2.66010466993414,2.45420552187644,3.26250607055836,7.22545011416209,9.60517554452686,0.405513998723217,0.36671939098891,1.71314881778161,2.2773799374019
MEX,B,USA,2012,1656.80872531937,28534.8068348782,5986.36630598374,915.53220796666,41.1367554354308,43.0593064944511,701.489456887265,734.273989453211,113.140923331395,20.6771848465173,181.687883864043,190.179176622469
MEX,C10-C12,USA,2012,5705.23600694833,612.651502300443,49.0055991621221,6.9376519083109,505.327425393322,679.212356317283,54.2790934075486,72.9567189103411,0.64778446318757,1.20409971354573,5.10408947970271,6.86042448550021
MEX,C13-C15,USA,2012,4508.03986376231,601.252704325505,90.4271548771698,11.7513242151747,852.635915864576,735.031075374452,113.222807224601,97.6058833585789,3.73253119546728,1.65671889634514,20.8411713056701,17.9665297600517
MEX,C16,USA,2012,28.132988943205,185.558786619724,19.9680410036246,2.12279659727372,2.37976428253105,2.28020103160881,15.6488403848472,14.9941329277617,0.550480933155631,0.370283004269318,1.99408981123648,1.91066219376402
